Journal title,SJR Impact,SJR Subject Category Best Quartile,Journal article processing charges (APCs),Currency,APC in EUR (including 19% taxes),APC below 2000 EUR,APC information URL,Average number of weeks between submission and publication,Subject category 1,Subject category 2,Journal license,Journal URL,Publisher,pISSN,eISSN
Health & Justice,0.954,Q1,1340,GBP,1836,yes,https://healthandjusticejournal.biomedcentral.com/about,13,Public aspects of medicine,Social pathology. Social and public welfare. Criminology,"CC BY, CC0",https://healthandjusticejournal.biomedcentral.com/,BMC,NA,2194-7899
"Evolution, Medicine and Public Health",0.945,Q1,3488,USD,3902,no,https://academic.oup.com/emph/pages/Oa_Publication_Model,8,Public aspects of medicine,Evolution,CC BY,https://academic.oup.com/emph,Oxford University Press,NA,2050-6201
Global Health Action,0.934,Q1,2630,EUR,3130,no,http://www.tandfonline.com/action/authorSubmission?journalCode=ZGHA&page=instructions,16,Public aspects of medicine,,CC BY,https://www.tandfonline.com/journals/zgha,Taylor & Francis Group,NA,1654-9880
Health Literacy Research and Practice,0.919,Q1,2000,USD,2237,no,https://journals.healio.com/journal/hlrp/submit-an-article,36,Public aspects of medicine,,"CC BY, CC BY-NC",https://journals.healio.com/journal/hlrp,SLACK Incorporated,2475-6024,2474-8307
Global Health: Science and Practice Journal,0.919,Q1,No,-,0,yes,http://www.ghspjournal.org/instructions-authors#Author_fees,22,Public aspects of medicine,,CC BY,http://www.ghspjournal.org/,Johns Hopkins University,NA,2169-575X
"Substance Abuse Treatment, Prevention, and Policy",0.899,Q2,2390,GBP,3274,no,https://substanceabusepolicy.biomedcentral.com/about,19,Public aspects of medicine,Social pathology. Social and public welfare. Criminology,"CC BY, CC0",https://substanceabusepolicy.biomedcentral.com/,BMC,NA,1747-597X
Safety and Health at Work,0.877,Q1,1700,USD,1902,yes,https://www.elsevier.com/journals/safety-and-health-at-work/2093-7911/open-access-journal,12,Public aspects of medicine,,"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/safety-and-health-at-work/,Elsevier,2093-7911,2093-7997
Public Health Nutrition,0.874,Q1,3255,GBP,4459,"yes, library special terms",https://www.cambridge.org/core/journals/public-health-nutrition/information/instructions-contributors#openaccess,21,Public aspects of medicine,Nutritional diseases. Deficiency diseases,"CC BY, CC BY-NC-SA, CC BY-NC-ND",https://www.cambridge.org/core/journals/public-health-nutrition,Cambridge University Press,1368-9800,1475-2727
Archives of Public Health,0.811,Q2,2190,GBP,3000,no,https://archpublichealth.biomedcentral.com/about,16,Public aspects of medicine,,"CC BY, CC0",http://archpublichealth.biomedcentral.com,BMC,NA,2049-3258
Health and Human Rights,0.767,Q1,2000,USD,2237,no,https://www.hhrjournal.org/about-hhr/peer-review-process-competing-interest-policy-data-sharing-policy/,24,Public aspects of medicine,Social history and conditions. Social problems. Social reform,CC BY-NC,https://www.hhrjournal.org,Harvard FXB Center for Health and Human Rights,NA,2150-4113
Journal of Patient-Reported Outcomes,0.729,Q2,1490,GBP,2041,"no, but DEAL special terms",https://jpro.springeropen.com/about,20,Public aspects of medicine,,CC BY,https://jpro.springeropen.com/,SpringerOpen,NA,2509-8020
Risk Management and Healthcare Policy,0.722,Q2,2836,USD,3172,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=56,16,Public aspects of medicine,,"CC BY, CC BY-NC",https://www.dovepress.com/risk-management-and-healthcare-policy-journal,Dove Medical Press,NA,1179-1594
Epidemiologia e Serviços de Saúde,0.706,Q1,No,-,0,yes,http://www.scielo.br/revistas/ress/pinstruc.htm,21,Public aspects of medicine,,CC BY-NC,http://www.scielo.br/scielo.php?script=sci_serial&pid=2237-9622&lng=en&nrm=iso,Ministério da Saúde do Brasil,1679-4974,2237-9622
Revista de Saúde Pública,0.705,Q2,1200,USD,1342,yes,http://www.scielo.br/revistas/rsp/iinstruc.htm,13,Public aspects of medicine,,CC BY,https://www.scielo.br/j/rsp/,Universidade de São Paulo,0034-8910,1518-8787
Substance Abuse: Research and Treatment,0.682,Q2,1500,USD,1678,yes,https://journals.sagepub.com/author-instructions/sat,8,Public aspects of medicine,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/sat,SAGE Publishing,NA,1178-2218
Frontiers in Digital Health,0.624,Q2,1900,USD,2125,no,https://www.frontiersin.org/about/publishing-fees,13,Public aspects of medicine,Electronic computers. Computer science,CC BY,https://www.frontiersin.org/journals/digital-health#,Frontiers Media S.A.,NA,2673-253X
Journal of Public Health Research,0.565,Q2,895,USD,1001,yes,https://journals.sagepub.com/author-instructions/PHJ#apc,20,Public aspects of medicine,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/PHJ,SAGE Publishing,NA,2279-9036
Primary Health Care Research and Development,0.56,Q1,1870,GBP,2562,"yes, library special terms",https://www.cambridge.org/core/journals/primary-health-care-research-and-development/information/instructions-contributors#publicationcharges,33,Public aspects of medicine,,"CC BY, CC BY-NC-SA, CC BY-NC-ND",https://www.cambridge.org/core/journals/primary-health-care-research-and-development,Cambridge University Press,NA,1477-1128
Public Health in Practice,0.545,Q2,1700,USD,1902,yes,https://www.elsevier.com/journals/public-health-in-practice/2666-5352/open-access-journal,8,Public aspects of medicine,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/public-health-in-practice,Elsevier,NA,2666-5352
"European Journal of Investigation in Health, Psychology and Education",0.542,Q2,1000,CHF,1234,"yes, library special terms",https://www.mdpi.com/journal/ejihpe/apc,8,Public aspects of medicine,Psychology,CC BY-NC-ND,https://www.mdpi.com/journal/ejihpe,MDPI AG,2174-8144,2254-9625
Journal of Family and Community Medicine,0.53,Q2,200,USD,224,yes,https://journals.lww.com/jfcm/Pages/instructionsforauthors.aspx,37,Public aspects of medicine,,CC BY-NC-SA,http://www.jfcmonline.com,Wolters Kluwer Medknow Publications,1319-1683,2229-340X
Health Policy Open,0.498,Q3,2000,USD,2237,no,https://www.elsevier.com/journals/health-policy-open/2590-2296/open-access-journal,40,Public aspects of medicine,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/health-policy-open,Elsevier,NA,2590-2296
"Inquiry: The Journal of Health Care Organization, Provision, and Financing",0.495,Q3,2200,USD,2461,no,https://journals.sagepub.com/author-instructions/inq,12,Public aspects of medicine,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/inq,SAGE Publishing,0046-9580,1945-7243
Tobacco Prevention and Cessation,0.455,Q2,1500,EUR,1785,yes,"http://www.tobaccopreventioncessation.com/Open-Access,200.html",8,Public aspects of medicine,,"CC BY, CC BY-ND",http://www.tobaccopreventioncessation.com/,European Publishing,NA,2459-3087
SAHARA-J,0.402,Q3,1615,USD,1807,yes,http://tandfonline.com/action/authorSubmission?journalCode=rsah&page=instructions#.Vv1CfE8rKK4,40,Public aspects of medicine,,"CC BY, CC BY-NC",https://www.tandfonline.com/journals/rsah,Taylor & Francis Group,1729-0376,1813-4424
"Global Health, Epidemiology and Genomics",0.386,Q3,1400,USD,1566,yes,https://www.hindawi.com/journals/gheg/apc/,20,Public aspects of medicine,,CC BY,https://www.hindawi.com/journals/gheg/,Hindawi - Cambridge University Press,NA,2054-4200
Journal of Smoking Cessation,0.34,Q3,1400,USD,1566,yes,https://www.hindawi.com/journals/josc/apc/,21,Public aspects of medicine,,CC BY,https://www.hindawi.com/journals/josc/,Hindawi - Cambridge University Press,NA,1834-2612
Western Pacific Surveillance and Response,0.311,Q3,No,-,0,yes,https://ojs.wpro.who.int/ojs/index.php/wpsar/about/submissions,15,Public aspects of medicine,,CC BY,https://ojs.wpro.who.int/ojs/index.php/wpsar,World Health Organization Regional Office for the Western Pacific,2094-7321,2094-7313
Revista Española de Sanidad Penitenciaria,0.159,Q4,No,-,0,yes,http://www.sanipe.es/index.html,15,Public aspects of medicine,,CC BY-NC-ND,http://www.sanipe.es/,Sociedad Española de Sanidad Penitenciaria,1575-0620,2013-6463
Advances in Preventive Medicine,-,-,800,USD,895,yes,https://www.hindawi.com/journals/apm/apc/,15,Public aspects of medicine,,CC BY,https://www.hindawi.com/journals/apm/,Hindawi Limited,2090-3480,2090-3499
Tobacco Use Insights,-,-,1848,USD,2067,no,https://journals.sagepub.com/author-instructions/tui,8,Public aspects of medicine,,"CC BY, CC BY-NC",https://journals.sagepub.com/home/tui,SAGE Publishing,NA,1179-173X
Substance Abuse and Rehabilitation,-,-,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=98,16,Public aspects of medicine,,"CC BY, CC BY-NC",https://www.dovepress.com/substance-abuse-and-rehabilitation-journal,Dove Medical Press,NA,1179-8467
Online Journal of Public Health Informatics,-,-,350,USD,392,yes,http://journals.uic.edu/ojs/index.php/ojphi/about/submissions#authorFees,10,Public aspects of medicine,,Publisher's own license,http://journals.uic.edu/ojs/index.php/ojphi,University of Illinois at Chicago,NA,1947-2579
Journal of Market Access & Health Policy,-,-,1250,GBP,1712,yes,http://www.tandfonline.com/action/authorSubmission?journalCode=ZJMA&page=instructions,14,Public aspects of medicine,Business,"CC BY, CC BY-NC",https://www.tandfonline.com/journals/zjma,Taylor & Francis Group,NA,2001-6689
GMS Hygiene and Infection Control,-,-,No,-,0,yes,https://www.egms.de/static/en/journals/dgkh/authors.htm#guide,10,Public aspects of medicine,Microbiology,CC BY,https://www.egms.de/dynamic/en/journals/dgkh/index.htm,German Medical Science GMS Publishing House,NA,2196-5226
Journal of Appalachian Health,-,-,No,-,0,yes,https://uknowledge.uky.edu/jah/policies.html,9,Public aspects of medicine,,CC BY,https://uknowledge.uky.edu/jah/,University of Kentucky,NA,2641-7804
PLOS Global Public Health,-,-,2100,USD,2349,no,https://plos.org/publish/fees/,17,Public aspects of medicine,,CC BY,https://journals.plos.org/globalpublichealth/,Public Library of Science (PLoS),NA,2767-3375
PEC Innovation,-,-,1500,USD,1678,yes,https://www.elsevier.com/journals/pec-innovation/2772-6282/open-access-options,13,Public aspects of medicine,,"CC BY, CC BY-NC-ND",https://www.sciencedirect.com/journal/pec-innovation,Elsevier,NA,2772-6282
IJID Regions,-,-,1200,USD,1342,yes,https://www.elsevier.com/journals/ijid-regions/2772-7076/open-access-journal,8,Public aspects of medicine,Infectious and parasitic diseases,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/ijid-regions,Elsevier,NA,2772-7076
Reproduction and Fertility,0.372,Q2,No,-,0,yes,https://raf.bioscientifica.com/page/charges/publication-charges,10,Reproduction,Gynecology and obstetrics,"CC BY, CC BY-NC, CC BY-NC-ND",https://raf.bioscientifica.com/,Bioscientifica,NA,2633-8386
Frontiers in Reproductive Health,-,-,1900,USD,2125,no,https://www.frontiersin.org/about/publishing-fees,13,Reproduction,Medicine (General),CC BY,https://www.frontiersin.org/journals/reproductive-health#,Frontiers Media S.A.,NA,2673-3153
npj Science of Learning,1.468,Q1,2090,GBP,2863,no,https://www.nature.com/npjscilearn/about/apc,9,Special aspects of education,Neurosciences. Biological psychiatry. Neuropsychiatry,CC BY,https://www.nature.com/npjscilearn/,Nature Portfolio,NA,2056-7936
Perspectives on Medical Education,1.259,Q1,937,GBP,1284,yes,https://pmejournal.org/about/submissions,28,Special aspects of education,Medicine (General),CC BY,https://pmejournal.org/,Ubiquity Press,NA,2212-277X
Medical Education Online,1.07,Q1,2100,GBP,2877,no,https://www.tandfonline.com/action/authorSubmission?journalCode=ZMEO&page=instructions,8,Special aspects of education,Medicine (General),"CC BY, CC BY-NC",https://www.tandfonline.com/journals/zmeo,Taylor & Francis Group,NA,1087-2981
Journal of Educational Evaluation for Health Professions,0.917,Q1,No,-,0,yes,http://jeehp.org/authors/processing_charge.php,5,Special aspects of education,Medicine,CC BY,http://jeehp.org/,Korea Health Personnel Licensing Examination Institute,NA,1975-5937
BMC Medical Education,0.914,Q1,2190,GBP,3000,no,https://bmcmededuc.biomedcentral.com/about,24,Special aspects of education,Medicine,"CC BY, CC0",https://bmcmededuc.biomedcentral.com,BMC,NA,1472-6920
JMIR Medical Education,0.837,Q1,1985,USD,2220,"yes, library special terms",https://mededu.jmir.org/fees/article-processing-fees,8,Special aspects of education,Medicine (General),CC BY,https://mededu.jmir.org,JMIR Publications,NA,2369-3762
Autism & Developmental Language Impairments,0.552,Q2,800,USD,895,yes,https://journals.sagepub.com/author-instructions/dli,12,Special aspects of education,Neurosciences. Biological psychiatry. Neuropsychiatry,"CC BY, CC BY-NC",https://journals.sagepub.com/home/dli,SAGE Publishing,NA,2396-9415
Advances in Medical Education and Practice,0.505,Q2,2390,USD,2673,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=92,16,Special aspects of education,Medicine (General),"CC BY, CC BY-NC",https://www.dovepress.com/advances-in-medical-education-and-practice-journal,Dove Medical Press,NA,1179-7258
Journal of Microbiology & Biology Education,0.452,Q2,1700,USD,1902,yes,https://journals.asm.org/journal/jmbe/publication-fees?#jmbe-fees,22,Special aspects of education,Biology (General),CC BY-NC-ND,https://journals.asm.org/journal/jmbe,American Society for Microbiology,1935-7877,1935-7885
Journal of Education and Health Promotion,0.411,Q2,200,USD,224,yes,https://www.jehp.net/contributors.asp,34,Special aspects of education,Public aspects of medicine,CC BY-NC-SA,http://www.jehp.net,Wolters Kluwer Medknow Publications,2277-9531,2319-6440
Journal of European CME,-,-,1250,GBP,1712,yes,http://www.tandfonline.com/action/authorSubmission?journalCode=ZJEC&page=instructions,7,Special aspects of education,Medicine (General),"CC BY, CC BY-NC",https://www.tandfonline.com/journals/zjec,Taylor & Francis Group,NA,2161-4083
Journal of Medical Education and Curricular Development,-,-,1355,USD,1516,yes,https://journals.sagepub.com/author-instructions/mde,8,Special aspects of education,Medicine (General),CC BY-NC,https://journals.sagepub.com/home/mde,SAGE Publishing,NA,2382-1205
Conflict and Health,1.201,Q1,2490,GBP,3411,no,https://conflictandhealth.biomedcentral.com/about,18,Special situations and conditions,Medical emergencies. Critical care. Intensive care. First aid,"CC BY, CC0",https://conflictandhealth.biomedcentral.com/,BMC,NA,1752-1505
BMC Palliative Care,0.907,Q1,2390,GBP,3274,no,https://bmcpalliatcare.biomedcentral.com/about,21,Special situations and conditions,,"CC BY, CC0",http://bmcpalliatcare.biomedcentral.com,BMC,NA,1472-684X
Osong Public Health and Research Perspectives,0.859,Q2,No,-,0,yes,https://ophrp.org/about/open_access.html,16,Special situations and conditions,Infectious and parasitic diseases,CC BY-NC-ND,https://www.ophrp.org,Korea Disease Control and Prevention Agency,2210-9099,2233-6052
BMC Emergency Medicine,0.795,Q1,1990,GBP,2726,no,https://bmcemergmed.biomedcentral.com/about,29,Special situations and conditions,Medical emergencies. Critical care. Intensive care. First aid,"CC BY, CC0",http://bmcemergmed.biomedcentral.com,BMC,NA,1471-227X
"Diabetes, Metabolic Syndrome and Obesity",0.851,Q2,2836,USD,3172,no,https://www.dovepress.com/journal_pricing_bands.php?journal_id=32,16,Specialties of internal medicine,,"CC BY, CC BY-NC",https://www.dovepress.com/diabetes-metabolic-syndrome-and-obesity-journal,Dove Medical Press,NA,1178-7007
Kidney Research and Clinical Practice,0.82,Q1,No,-,0,yes,http://www.krcp-ksn.org/authors/sub01.html,10,Specialties of internal medicine,,CC BY-NC-ND,http://www.krcp-ksn.org/main.html,The Korean Society of Nephrology,2211-9132,2211-9140
Transplant International,0.807,Q2,2700,EUR,3213,no,https://www.frontierspartnerships.org/journals/transplant-international/for-authors/publishing-fees,11,Specialties of internal medicine,,CC BY,https://www.frontierspartnerships.org/journals/transplant-international,Frontiers Media S.A.,NA,1432-2277
Sleep Medicine: X,0.773,Q2,2630,USD,2942,no,https://www.elsevier.com/journals/sleep-medicine-x/2590-1427/open-access-journal,25,Specialties of internal medicine,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/sleep-medicine-x,Elsevier,NA,2590-1427
Resuscitation Plus,0.735,Q1,2100,USD,2349,no,https://www.elsevier.com/journals/resuscitation-plus/2666-5204/open-access-journal,11,Specialties of internal medicine,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/resuscitation-plus,Elsevier,NA,2666-5204
Intervirology,0.722,Q2,1220,CHF,1505,yes,https://www.karger.com/Journal/Guidelines/224031#sec62,35,Specialties of internal medicine,,"CC BY, CC BY-NC",https://www.karger.com/int,Karger Publishers,0300-5526,1423-0100
Cardiorenal Medicine,0.705,Q2,2610,EUR,3106,no,https://karger.com/crm/pages/guidelines#sec63,31,Specialties of internal medicine,,CC BY-NC,https://karger.com/crm,Karger Publishers,NA,1664-5502
Current Research in Immunology,0.64,Q3,2500,USD,2796,no,https://www.elsevier.com/journals/current-research-in-immunology/2590-2555/open-access-journal,30,Specialties of internal medicine,,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/current-research-in-immunology,Elsevier,NA,2590-2555
Head & Face Medicine,0.568,Q2,2190,GBP,3000,no,https://head-face-med.biomedcentral.com/about,20,Specialties of internal medicine,,"CC BY, CC0",https://head-face-med.biomedcentral.com/,BMC,NA,1746-160X
Pleura and Peritoneum,0.449,Q3,No,-,0,yes,https://www.degruyter.com/journal/key/PP/html,9,Specialties of internal medicine,,CC BY,https://www.degruyter.com/view/journals/pp/pp-overview.xml,De Gruyter,NA,2364-768X
Revista Española de Quimioterapia,0.389,Q3,No,-,0,yes,https://seq.es/revista-de-la-seq-pag/,8,Specialties of internal medicine,Microbiology,CC BY-NC,https://seq.es/revista-de-la-seq-pag/,Sociedad Española de Quimioterapia,0214-3429,1988-9518
Cerebral Circulation - Cognition and Behavior,0.304,Q3,2400,USD,2685,no,https://www.elsevier.com/journals/cerebral-circulation-cognition-and-behavior/2666-2450/open-access-journal,14,Specialties of internal medicine,Neurosciences. Biological psychiatry. Neuropsychiatry,"CC BY, CC BY-NC-ND",https://www.journals.elsevier.com/cerebral-circulation-cognition-and-behavior,Elsevier,NA,2666-2450
Journal of Sport and Health Science,2.041,Q1,No,-,0,yes,https://www.elsevier.com/journals/journal-of-sport-and-health-science/2095-2546/open-access-journal,22,Sports,Sports medicine,"CC BY, CC BY-NC-ND",http://www.journals.elsevier.com/journal-of-sport-and-health-science,Elsevier,2095-2546,NA
Journal of Sports Science and Medicine,1.027,Q1,1500,GBP,2055,no,https://www.jssm.org/newauthors.php,4,Sports,Sports medicine,Publisher's own license,http://www.jssm.org,University of Uludag,1303-2968,NA
Sports Medicine - Open,1.538,Q1,2790,GBP,3822,"no, but DEAL special terms",https://sportsmedicine-open.springeropen.com/about,13,Sports medicine,,CC BY,https://sportsmedicine-open.springeropen.com/,SpringerOpen,NA,2198-9761
